,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
183,John Carpenter,2.0,Sam Neill,2.0,Julie Carmen,1.0,Jürgen Prochnow,2.0
184,Barry Sonnenfeld,2.0,Raúl Juliá,2.0,Anjelica Huston,1.0,Christopher Lloyd,2.0
185,Martin Scorsese,2.0,Daniel Day-Lewis,2.0,Michelle Pfeiffer,1.0,Winona Ryder,1.0
186,Paul Michael Glaser,2.0,Kevin Bacon,2.0,Charles Gitonga Maina,0.0,Yolanda Vazquez,1.0
187,Jonathan Kaplan,2.0,Madeleine Stowe,1.0,Mary Stuart Masterson,1.0,Andie MacDowell,1.0
188,John Landis,2.0,Eddie Murphy,2.0,Judge Reinhold,2.0,Héctor Elizondo,2.0
189,Michael Apted,2.0,Madeleine Stowe,1.0,Aidan Quinn,2.0,James Remar,2.0
190,Stephen Hopkins,2.0,Jeff Bridges,2.0,Tommy Lee Jones,2.0,Suzy Amis,1.0
191,Abel Ferrara,2.0,Gabrielle Anwar,1.0,Terry Kinney,2.0,Billy Wirth,2.0
192,Jennifer Chambers Lynch,1.0,Julian Sands,2.0,Sherilyn Fenn,1.0,Bill Paxton,2.0
193,Robert De Niro,2.0,Robert De Niro,2.0,Chazz Palminteri,2.0,Lillo Brancato,2.0
194,Adam Resnick,2.0,Chris Elliott,2.0,Ritch Brinkley,2.0,James Gammon,2.0
195,John Whitesell,2.0,Jason Priestley,2.0,Gabriel Olds,2.0,Jerry O'Connell,2.0
196,Brian De Palma,2.0,Al Pacino,2.0,Sean Penn,2.0,Penelope Ann Miller,1.0
197,Mick Jackson,2.0,Dana Carvey,2.0,Valeria Golino,1.0,James Earl Jones,0.0
198,Renny Harlin,2.0,Sylvester Stallone,2.0,John Lithgow,2.0,Michael Rooker,2.0
199,Richard Rush,2.0,Bruce Willis,2.0,Jane March,0.0,Rubén Blades,2.0
200,Ivan Reitman,2.0,Kevin Kline,2.0,Sigourney Weaver,1.0,Frank Langella,2.0
201,Richard Linklater,2.0,Jason London,2.0,Rory Cochrane,2.0,Wiley Wiggins,1.0
202,Marco Brambilla,2.0,Sylvester Stallone,2.0,Wesley Snipes,2.0,Sandra Bullock,1.0
203,Steve Kloves,2.0,Meg Ryan,1.0,Dennis Quaid,2.0,James Caan,2.0
204,Barry Sonnenfeld,2.0,Michael J. Fox,2.0,Gabrielle Anwar,1.0,Anthony Higgins,2.0
205,Sydney Pollack,2.0,Tom Cruise,2.0,Jeanne Tripplehorn,1.0,Gene Hackman,2.0
206,Simon Wincer,0.0,Jason James Richter,2.0,Lori Petty,1.0,August Schellenberg,2.0
207,Andrew Davis,2.0,Harrison Ford,2.0,Tommy Lee Jones,2.0,Sela Ward,1.0
208,Walter Hill,2.0,Jason Patric,2.0,Wes Studi,2.0,Gene Hackman,2.0
209,Sidney Lumet,2.0,Rebecca De Mornay,1.0,Don Johnson,0.0,Dana Ivey,1.0
210,John Woo,2.0,Jean-Claude Van Damme,2.0,Arnold Vosloo,2.0,Lance Henriksen,2.0
211,Jim Abrahams,2.0,Charlie Sheen,2.0,Lloyd Bridges,2.0,Valeria Golino,1.0
212,"Daniel Petrie, Jr.",2.0,Pauly Shore,2.0,Andy Dick,2.0,Lori Petty,1.0
213,Wolfgang Petersen,2.0,Clint Eastwood,2.0,Rene Russo,1.0,John Malkovich,2.0
214,Jim Sheridan,2.0,Daniel Day-Lewis,2.0,Pete Postlethwaite,2.0,Emma Thompson,1.0
215,Matty Rich,2.0,Larenz Tate,2.0,Joe Morton,2.0,Suzzanne Douglas,1.0
216,Stephen Hopkins,2.0,Emilio Estevez,2.0,Cuba Gooding Jr.,2.0,Denis Leary,2.0
217,Steven Spielberg,2.0,Sam Neill,2.0,Laura Dern,1.0,Jeff Goldblum,2.0
218,Dominic Sena,2.0,Brad Pitt,2.0,David Duchovny,2.0,Juliette Lewis,1.0
219,Roger Avary,2.0,Eric Stoltz,2.0,Julie Delpy,1.0,Jean-Hugues Anglade,2.0
220,John McTiernan,2.0,Arnold Schwarzenegger,2.0,F. Murray Abraham,2.0,Art Carney,2.0
221,David Cronenberg,2.0,Jeremy Irons,2.0,John Lone,2.0,Barbara Sukowa,1.0
222,Harold Becker,2.0,Alec Baldwin,2.0,Nicole Kidman,1.0,Bill Pullman,2.0
223,Mel Gibson,2.0,Mel Gibson,2.0,Nick Stahl,2.0,Margaret Whitton,1.0
224,Woody Allen,2.0,Woody Allen,2.0,Diane Keaton,1.0,Jerry Adler,2.0
