,prod_company,num_movies,dom_box_office,int_box_office
518,Black Bear,9,130458219,301105180
519,Major Studio Partners,1,128505958,261443242
520,Indian Paintbrush,8,128404373,275050964
521,Marv of a Cloudy,1,128261724,404561724
522,Barry Sonnenfeld,1,127706877,340384141
523,TF1 International,3,126915202,458255754
524,Jerry Zucker,1,126813153,298923419
525,Predawn,1,126813153,298923419
526,Columbus 81 Productions,1,126631277,287594577
527,Film 44,3,126042103,383149836
528,BFI,39,126006930,322298050
529,Automatik,21,125544761,224613459
530,Halcyon Company,2,125324183,365493506
531,Entertainment/Single Berry,1,125095601,149804632
532,Gravier Productions,6,125083186,438457238
533,Flashlight Films,1,125070033,238552082
534,Martin Bregman,2,125059603,210034603
535,Haishang Films,1,124987022,607767378
536,Fountainbridge Films,2,124560618,248553222
537,Envision Media,5,124305443,206554807
538,DNA Films,8,123777944,305327678
539,BlindWink,1,123477607,245724600
540,Dog Eat Dog,3,123090868,225766062
541,Imaginary Forces,3,122693786,262745374
542,Double Dare You,2,122558154,476616237
543,Amen Ra Films,2,122539265,262590853
544,Extension 765,2,121411615,180839797
545,Star Thrower Entertainment,7,121157510,220453776
546,FilmColony,3,121018005,152018005
547,Zehnte Babelsberg,1,120774594,316915264
548,Jerry Sherlock,1,120709866,200500000
549,Larger Than Life,2,120277854,148715342
550,Sommers Company,2,120150546,300150546
551,Catfish,1,119519402,187707495
552,Jim Czarnecki,1,119114517,221148959
553,Nikelodeon Movies,1,118627117,212956024
554,Irish Film Board,38,118559717,239584884
555,Bedford Falls,4,118389734,327081991
556,TPS Company,3,117739667,120205102
557,David T. Friendly,1,117559438,173559438
558,View Askew,4,117434883,151633700
559,A24,10,117393258,201928566
560,Emjag,1,116900694,389870414
561,Windy Hill Pictures,3,116632095,177025498
562,Salamander Pictures,1,116632095,177025498
563,Pam Williams Productions,1,116632095,177025498
564,Jolie Pas,3,116488736,167567951
565,Crystal Sky Pictures,1,115802596,229545589
566,Technical Black,1,115654751,136706683
567,Aversano Films,2,114784147,181471856
568,2.0 Entertainment,1,114292715,310062511
569,HanWay Films,24,114145218,282195851
570,Ad Hominem Enterpises,3,113935817,222579966
571,Iron Horse,2,113925225,170757754
572,Sonnenfeld-Joseph,1,113805681,221229335
573,Bandito Brothers,5,113600891,276753234
574,Bill Block Media,1,113257297,181457297
575,Suzanne Todd,1,113257297,181457297
576,David Permut,1,112276146,241200000
577,WCG,1,112276146,241200000
578,Todd Phillips,1,112200072,362000072
579,Gerard Butler Alan Siegel Entertainment,2,112030864,178367796
580,Cinecinema,29,111643406,960609376
581,Bullwinkle Studios,1,111506430,269806430
582,Mystery Clock Cinema,2,111111098,320003781
583,Telefilm Canada,53,111026933,278312085
584,Bart/Palevsky,1,110550000,203018919
585,JC 23 Entertainment,1,110550000,203018919
586,Little Stranger,2,110127979,130946629
587,Conman & Izzy,1,110101975,221468935
588,State Street Pictures,8,109965518,118553344
589,Gunnfilms,3,109549879,133983282
590,Yellow Bird,4,109143487,300742370
591,Cott Productions    ,2,108690841,395690841
592,Jon Shestack,3,108635224,164590364
593,Further Films,4,108207183,227746538
594,Simon Fields Productions,2,108143192,195575179
595,Bay Films,2,107953656,215606529
596,Lee Rich,2,107923106,150395313
597,Lloyd Levin,1,107509799,184068357
598,Rovio Animation,1,107509366,352829528
599,Carousel Films,4,106889078,174534937
600,Sherry Lansing,1,106614059,266600000
601,The Zanuck Company,1,106593296,106593296
602,Gianni Nunnari,1,106580051,330780051
603,Hopscotch Features,4,106575168,220402464
604,Pathe,24,106088035,403990671
605,Free State Pictures,2,106057948,320673368
606,Fairbanks,1,105487148,322459006
607,Ram Bergman Productions,5,104227558,246519405
608,Digital Domain,2,103808130,175885849
609,Dune Vision,2,103546083,316875509
610,Christina Steinberg,1,103412758,306900902
611,Gaumont,26,102898718,935080011
612,Franklin Entertainment,2,102553118,135810475
613,Yuk Films,2,102332458,228007119
614,Kendrick Brothers Productions,2,102312338,109161123
615,Rocklin/Faust,2,102083211,152495895
616,Charlotte Huggins,1,101704370,243180937
617,Platinum Studios,2,101555098,182132049
618,Zhiv,2,101530738,192903624
619,Hammer Films,4,101479415,209141424
620,K/O Productions,1,101440743,178066569
621,Serendipity Prods,4,101352927,238492701
622,Twisted Pictures,3,101352927,238390024
623,Permut Presentations,5,101042015,193879659
624,Vynil Films,1,100614858,202726605
625,WWE Studios,27,100574027,136324999
626,Rhythm and Hues,1,100246011,204774690
627,Company Films,7,100220299,303267634
628,Edge City,1,100170152,217670152
629,Juno Pix,1,100125643,328125643
630,Start Motion Pictures,1,100014699,302212434
631,Practical Pictures,4,99346478,402047605
632,Zide Pictures,2,99346478,391810376
633,Brillstein Entertianment Partners,4,98874994,143841447
634,Big Beach,9,98440547,146179055
635,AEG Live,2,98339981,131734564
636,Jinks/Cohen Company,2,98274166,181247694
637,Ruby Films,6,97983527,160804799
638,Dorothy McKim,1,97822171,170552719
639,Blind Wink,2,97409101,284502016
640,Vinyl Films,3,97147914,144136206
641,Material Pictures,7,96620031,198414231
642,Wagner Productions,2,96522687,207765056
643,Sogecine,1,96522687,207765056
644,Las Producciones Del Escorpion,1,96522687,207765056
645,Burg-Knoules,2,95746510,126946510
646,Mark Boal,1,95720716,134612435
647,MBST Entertainment,2,95713491,95713491
648,Entertainment 360,4,95298562,168675382
649,Route One,10,95156116,137384083
650,Brian Helgeland,1,95020213,97470701
651,JD Productions,4,94959413,178563436
652,Amy Robinson,1,94125426,126646119
653,Easy There Tiger,1,94125426,126646119
